"NUMERO";"LAMBX";"LAMBY";"DATE";"SWI_UNIF_MENS"
9750;609427;6155320;196001;0,779
9750;609427;6155320;196002;0,953
9750;609427;6155320;196003;1,068
9750;609427;6155320;196004;0,955
9750;609427;6155320;196005;0,618
9750;609427;6155320;196006;0,404
9750;609427;6155320;196007;0,419
9750;609427;6155320;196008;0,272
9750;609427;6155320;196009;0,184
9750;609427;6155320;196010;0,4
9750;609427;6155320;196011;0,601
9750;609427;6155320;196012;0,685
9750;609427;6155320;196101;0,682
9750;609427;6155320;196102;0,817
9750;609427;6155320;196103;0,923
9750;609427;6155320;196104;0,81
9750;609427;6155320;196105;0,684
9750;609427;6155320;196106;0,671
9750;609427;6155320;196107;0,337
9750;609427;6155320;196108;0,19
9750;609427;6155320;196109;0,125
9750;609427;6155320;196110;0,272
9750;609427;6155320;196111;0,311
9750;609427;6155320;196112;0,503
9750;609427;6155320;196201;0,576
9750;609427;6155320;196202;0,593
9750;609427;6155320;196203;0,7
9750;609427;6155320;196204;1,02
9750;609427;6155320;196205;0,755
9750;609427;6155320;196206;0,516
9750;609427;6155320;196207;0,219
9750;609427;6155320;196208;0,066
9750;609427;6155320;196209;0,029
9750;609427;6155320;196210;0,156
9750;609427;6155320;196211;0,705
9750;609427;6155320;196212;0,793
9750;609427;6155320;196301;0,866
9750;609427;6155320;196302;0,862
9750;609427;6155320;196303;0,968
9750;609427;6155320;196304;1,056
9750;609427;6155320;196305;0,807
9750;609427;6155320;196306;0,721
9750;609427;6155320;196307;0,494
9750;609427;6155320;196308;0,325
9750;609427;6155320;196309;0,564
9750;609427;6155320;196310;0,527
9750;609427;6155320;196311;0,706
9750;609427;6155320;196312;0,937
9750;609427;6155320;196401;0,884
9750;609427;6155320;196402;0,94
9750;609427;6155320;196403;1,062
9750;609427;6155320;196404;1,103
9750;609427;6155320;196405;0,869
9750;609427;6155320;196406;0,732
9750;609427;6155320;196407;0,477
9750;609427;6155320;196408;0,281
9750;609427;6155320;196409;0,231
9750;609427;6155320;196410;0,267
9750;609427;6155320;196411;0,413
9750;609427;6155320;196412;0,427
9750;609427;6155320;196501;0,45
9750;609427;6155320;196502;0,449
9750;609427;6155320;196503;0,559
9750;609427;6155320;196504;0,853
9750;609427;6155320;196505;0,623
9750;609427;6155320;196506;0,427
9750;609427;6155320;196507;0,193
9750;609427;6155320;196508;0,161
9750;609427;6155320;196509;0,241
9750;609427;6155320;196510;0,609
9750;609427;6155320;196511;0,859
9750;609427;6155320;196512;0,946
9750;609427;6155320;196601;0,953
9750;609427;6155320;196602;1,074
9750;609427;6155320;196603;1,021
9750;609427;6155320;196604;0,912
9750;609427;6155320;196605;0,839
9750;609427;6155320;196606;0,552
9750;609427;6155320;196607;0,296
9750;609427;6155320;196608;0,172
9750;609427;6155320;196609;0,086
9750;609427;6155320;196610;0,214
9750;609427;6155320;196611;0,445
9750;609427;6155320;196612;0,507
9750;609427;6155320;196701;0,53
9750;609427;6155320;196702;0,56
9750;609427;6155320;196703;0,957
9750;609427;6155320;196704;0,851
9750;609427;6155320;196705;0,746
9750;609427;6155320;196706;0,417
9750;609427;6155320;196707;0,206
9750;609427;6155320;196708;0,158
9750;609427;6155320;196709;0,183
9750;609427;6155320;196710;0,11
9750;609427;6155320;196711;0,327
9750;609427;6155320;196712;0,636
9750;609427;6155320;196801;0,645
9750;609427;6155320;196802;0,647
9750;609427;6155320;196803;0,711
9750;609427;6155320;196804;0,948
9750;609427;6155320;196805;0,834
9750;609427;6155320;196806;0,856
9750;609427;6155320;196807;0,411
9750;609427;6155320;196808;0,375
9750;609427;6155320;196809;0,229
9750;609427;6155320;196810;0,118
9750;609427;6155320;196811;0,377
9750;609427;6155320;196812;0,824
9750;609427;6155320;196901;0,895
9750;609427;6155320;196902;0,99
9750;609427;6155320;196903;1,069
9750;609427;6155320;196904;1,168
9750;609427;6155320;196905;1,009
9750;609427;6155320;196906;0,742
9750;609427;6155320;196907;0,56
9750;609427;6155320;196908;0,4
9750;609427;6155320;196909;0,342
9750;609427;6155320;196910;0,283
9750;609427;6155320;196911;0,304
9750;609427;6155320;196912;0,519
9750;609427;6155320;197001;0,665
9750;609427;6155320;197002;0,815
9750;609427;6155320;197003;0,859
9750;609427;6155320;197004;0,865
9750;609427;6155320;197005;0,814
9750;609427;6155320;197006;0,604
9750;609427;6155320;197007;0,428
9750;609427;6155320;197008;0,236
9750;609427;6155320;197009;0,197
9750;609427;6155320;197010;0,444
9750;609427;6155320;197011;0,532
9750;609427;6155320;197012;0,673
9750;609427;6155320;197101;0,737
9750;609427;6155320;197102;0,769
9750;609427;6155320;197103;0,773
9750;609427;6155320;197104;1,037
9750;609427;6155320;197105;0,984
9750;609427;6155320;197106;0,736
9750;609427;6155320;197107;0,393
9750;609427;6155320;197108;0,192
9750;609427;6155320;197109;0,332
9750;609427;6155320;197110;0,6
9750;609427;6155320;197111;0,566
9750;609427;6155320;197112;0,689
9750;609427;6155320;197201;0,744
9750;609427;6155320;197202;0,803
9750;609427;6155320;197203;0,961
9750;609427;6155320;197204;1,062
9750;609427;6155320;197205;0,93
9750;609427;6155320;197206;0,887
9750;609427;6155320;197207;0,73
9750;609427;6155320;197208;0,694
9750;609427;6155320;197209;0,692
9750;609427;6155320;197210;0,643
9750;609427;6155320;197211;0,8
9750;609427;6155320;197212;0,772
9750;609427;6155320;197301;0,752
9750;609427;6155320;197302;0,757
9750;609427;6155320;197303;0,863
9750;609427;6155320;197304;0,906
9750;609427;6155320;197305;0,683
9750;609427;6155320;197306;0,497
9750;609427;6155320;197307;0,275
9750;609427;6155320;197308;0,147
9750;609427;6155320;197309;0,088
9750;609427;6155320;197310;0,073
9750;609427;6155320;197311;0,052
9750;609427;6155320;197312;0,136
9750;609427;6155320;197401;0,361
9750;609427;6155320;197402;0,419
9750;609427;6155320;197403;0,661
9750;609427;6155320;197404;1,017
9750;609427;6155320;197405;0,779
9750;609427;6155320;197406;0,629
9750;609427;6155320;197407;0,378
9750;609427;6155320;197408;0,265
9750;609427;6155320;197409;0,448
9750;609427;6155320;197410;0,511
9750;609427;6155320;197411;0,63
9750;609427;6155320;197412;0,801
9750;609427;6155320;197501;0,821
9750;609427;6155320;197502;0,876
9750;609427;6155320;197503;0,875
9750;609427;6155320;197504;0,93
9750;609427;6155320;197505;0,81
9750;609427;6155320;197506;0,727
9750;609427;6155320;197507;0,356
9750;609427;6155320;197508;0,453
9750;609427;6155320;197509;0,671
9750;609427;6155320;197510;0,577
9750;609427;6155320;197511;0,547
9750;609427;6155320;197512;0,655
9750;609427;6155320;197601;0,718
9750;609427;6155320;197602;0,82
9750;609427;6155320;197603;0,842
9750;609427;6155320;197604;0,875
9750;609427;6155320;197605;0,762
9750;609427;6155320;197606;0,489
9750;609427;6155320;197607;0,297
9750;609427;6155320;197608;0,24
9750;609427;6155320;197609;0,279
9750;609427;6155320;197610;0,394
9750;609427;6155320;197611;0,633
9750;609427;6155320;197612;0,767
9750;609427;6155320;197701;0,908
9750;609427;6155320;197702;1,013
9750;609427;6155320;197703;0,983
9750;609427;6155320;197704;0,931
9750;609427;6155320;197705;1,017
9750;609427;6155320;197706;0,794
9750;609427;6155320;197707;0,568
9750;609427;6155320;197708;0,484
9750;609427;6155320;197709;0,296
9750;609427;6155320;197710;0,39
9750;609427;6155320;197711;0,542
9750;609427;6155320;197712;0,669
9750;609427;6155320;197801;0,771
9750;609427;6155320;197802;0,856
9750;609427;6155320;197803;1,137
9750;609427;6155320;197804;1,115
9750;609427;6155320;197805;0,974
9750;609427;6155320;197806;0,733
9750;609427;6155320;197807;0,521
9750;609427;6155320;197808;0,234
9750;609427;6155320;197809;0,138
